,Hours_Studied,Attendance,Access_to_Resources,Extracurricular_Activities,Sleep_Hours,Previous_Scores,Tutoring_Sessions,Family_Income,Teacher_Quality,Peer_Influence,Learning_Disabilities,Parental_Education_Level,Exam_Score
0,0.7666666666666667,0.84,2,0,0.7,0.73,0,0,1.0,2,0,0.0,67
1,0.6333333333333333,0.64,1,0,0.8,0.59,2,1,1.0,0,0,1.0,61
2,0.8,0.98,1,1,0.7,0.91,2,1,1.0,1,0,2.0,74
3,0.9666666666666667,0.89,1,1,0.8,0.98,1,1,1.0,0,0,0.0,71
4,0.6333333333333333,0.92,1,1,0.6,0.65,3,1,2.0,1,0,1.0,70
5,0.6333333333333333,0.88,1,1,0.8,0.89,3,1,1.0,2,0,2.0,71
6,0.9666666666666667,0.84,0,1,0.7,0.68,1,0,1.0,1,0,0.0,67
7,0.8333333333333334,0.78,2,1,0.6,0.5,1,2,2.0,0,0,0.0,66
8,0.5666666666666667,0.94,2,0,0.6,0.8,0,1,0.0,1,0,1.0,69
9,0.7666666666666667,0.98,1,1,0.8,0.71,0,2,2.0,2,0,0.0,72
10,0.5666666666666667,0.8,2,0,0.8,0.88,4,1,2.0,1,0,1.0,68
11,0.5666666666666667,0.97,2,1,0.6,0.87,2,0,2.0,1,0,0.0,71
12,0.7,0.83,1,1,0.8,0.97,2,1,1.0,2,0,0.0,70
13,0.3,0.82,1,1,0.8,0.72,2,1,1.0,2,0,2.0,66
14,0.3333333333333333,0.78,2,1,0.8,0.74,1,0,1.0,1,0,2.0,65
15,0.5666666666666667,0.68,1,0,0.8,0.7,2,1,1.0,2,0,0.0,64
16,0.4666666666666667,0.6,0,1,1.0,0.65,0,2,1.0,2,0,1.0,60
17,0.7333333333333333,0.7,1,1,0.6,0.82,1,0,2.0,1,0,0.0,65
18,0.5,0.8,1,1,0.9,0.91,3,0,1.0,2,0,1.0,67
19,0.4,0.75,2,1,0.7,0.58,3,1,1.0,2,0,1.0,66
20,0.9666666666666667,0.78,1,0,0.5,0.99,0,2,1.0,0,0,0.0,69
21,0.6333333333333333,0.99,2,0,0.6,0.84,1,1,2.0,1,0,0.0,72
22,0.6666666666666666,0.74,2,0,0.8,0.89,1,1,1.0,0,0,1.0,66
23,0.36666666666666664,0.78,1,1,0.8,1.0,1,0,1.0,1,0,0.0,66
24,0.5666666666666667,0.65,2,1,0.5,0.75,2,0,1.0,2,0,0.0,63
25,0.7,0.62,0,1,0.6,0.54,0,2,2.0,2,0,2.0,64
26,0.43333333333333335,0.91,1,0,0.6,0.9,1,2,1.0,0,1,0.0,65
27,0.7333333333333333,0.83,2,1,0.6,0.94,0,2,1.0,1,0,1.0,71
28,0.5333333333333333,0.9,1,0,0.4,0.58,1,0,1.0,1,0,0.0,66
29,0.6,0.66,2,0,0.4,0.51,2,0,1.0,1,0,1.0,64
30,0.5333333333333333,0.83,1,0,0.6,0.57,0,2,0.0,2,1,0.0,63
31,1.0333333333333334,0.7,2,1,0.7,0.66,1,2,1.0,0,0,1.0,69
32,0.6666666666666666,0.69,1,1,0.8,0.96,2,1,2.0,2,0,0.0,67
33,0.4666666666666667,0.6,1,0,0.5,0.5,2,1,1.0,1,0,1.0,61
34,0.8333333333333334,0.65,1,0,0.5,0.9,2,1,1.0,2,0,1.0,68
35,0.43333333333333335,0.72,1,0,0.6,0.93,1,0,1.0,0,0,0.0,61
36,0.7,0.65,0,1,0.7,0.91,2,1,2.0,2,0,0.0,64
37,0.26666666666666666,0.99,1,0,0.9,0.54,2,0,1.0,1,0,2.0,67
38,0.4,0.72,1,1,0.8,0.84,1,0,1.0,2,0,0.0,63
39,0.7,0.65,1,1,0.6,0.98,1,1,2.0,0,0,0.0,64
40,0.8,0.68,1,0,0.8,0.56,3,2,2.0,1,0,1.0,67
41,0.7,0.84,1,1,0.6,0.52,1,1,2.0,1,1,1.0,65
42,0.6333333333333333,0.63,2,0,0.7,0.94,1,1,1.0,2,0,0.0,64
43,0.6,0.94,2,1,0.7,0.82,3,1,1.0,0,1,1.0,70
44,0.36666666666666664,0.98,1,1,0.9,0.82,1,1,1.0,2,0,2.0,68
45,0.5333333333333333,0.7,1,1,0.8,0.98,2,1,1.0,2,0,0.0,65
46,0.5666666666666667,0.78,1,1,0.6,0.88,1,1,2.0,2,0,1.0,68
47,0.8666666666666667,0.61,0,1,0.6,0.7,2,0,1.0,2,0,0.0,64
48,0.7333333333333333,0.86,1,1,0.7,0.72,3,0,2.0,2,0,0.0,68
49,0.3,0.77,1,0,0.5,0.57,2,1,2.0,1,0,0.0,63
50,0.7333333333333333,0.71,1,1,0.7,0.65,1,1,0.0,2,0,1.0,64
51,0.6,0.68,1,0,0.7,0.72,0,1,1.0,1,0,1.0,64
52,0.5333333333333333,0.86,1,1,0.8,0.63,2,1,1.0,2,0,0.0,67
53,0.8,0.77,0,0,0.8,0.96,0,1,1.0,1,0,0.0,67
54,0.8666666666666667,0.67,2,1,0.7,0.51,2,2,2.0,1,1,2.0,66
55,0.8666666666666667,0.88,2,1,0.5,0.79,1,0,2.0,2,0,1.0,72
56,0.5,0.83,2,0,0.5,0.89,1,1,2.0,1,1,0.0,65
57,0.6,0.94,1,1,0.6,0.87,1,1,1.0,2,0,0.0,71
58,0.7333333333333333,0.65,0,0,0.8,0.82,2,1,2.0,2,0,2.0,66
59,0.8666666666666667,0.91,0,1,0.8,0.71,0,0,1.0,1,0,0.0,68
60,0.5666666666666667,0.87,1,0,0.7,0.96,1,2,1.0,0,0,2.0,70
61,0.6333333333333333,0.65,1,1,1.0,0.66,0,0,1.0,2,0,0.0,62
62,0.43333333333333335,0.88,2,1,0.9,0.88,2,0,2.0,0,0,2.0,68
63,0.43333333333333335,0.78,2,1,0.9,0.96,2,0,1.0,1,0,1.0,67
64,0.8333333333333334,0.98,2,1,0.8,0.56,0,1,2.0,1,0,2.0,71
65,0.9333333333333333,0.66,2,1,0.8,0.97,0,1,1.0,1,0,0.0,68
66,0.6666666666666666,0.86,1,1,0.8,0.89,1,0,1.0,0,0,2.0,69
67,0.8666666666666667,0.75,2,1,0.4,0.81,3,1,2.0,2,0,0.0,70
68,0.7333333333333333,0.98,2,0,0.5,0.69,1,0,2.0,0,0,0.0,69
69,0.5333333333333333,0.73,1,0,0.7,0.95,1,0,1.0,0,0,1.0,65
70,0.7333333333333333,0.98,0,1,0.7,0.52,3,1,1.0,2,0,1.0,70
71,0.9666666666666667,0.96,0,1,0.7,0.72,1,0,1.0,2,0,0.0,71
72,0.6666666666666666,0.71,1,1,0.7,0.88,1,0,0.0,1,0,1.0,65
73,0.9666666666666667,0.92,1,0,0.4,0.91,2,1,1.0,0,0,2.0,72
74,0.13333333333333333,1.0,2,1,0.8,0.6,0,1,2.0,2,0,1.0,69
75,0.8333333333333334,0.7,1,0,0.7,0.52,1,1,1.0,2,0,2.0,66
76,0.7,0.77,1,1,0.7,0.9,4,1,1.0,1,0,2.0,68
77,0.6,0.81,0,1,0.8,0.71,0,1,1.0,1,0,0.0,65
78,0.7,0.72,1,1,0.5,0.57,1,2,1.0,1,1,1.0,64
79,0.26666666666666666,0.61,1,1,0.7,0.54,1,2,1.0,2,0,1.0,60
80,0.6333333333333333,0.69,2,1,0.7,0.82,1,0,1.0,0,0,0.0,65
81,0.7333333333333333,0.71,1,0,0.6,0.79,1,0,0.0,2,0,0.0,66
82,0.9666666666666667,0.78,2,1,0.4,0.93,5,1,2.0,1,0,1.0,74
83,0.5666666666666667,0.67,1,1,0.5,0.52,2,1,1.0,0,0,0.0,62
84,0.5,0.95,1,0,0.7,0.93,2,0,1.0,2,0,1.0,70
85,0.5666666666666667,0.88,2,1,0.7,0.94,0,1,1.0,1,0,0.0,69
86,0.8333333333333334,0.63,2,1,0.7,0.72,3,1,2.0,0,0,1.0,67
87,0.7333333333333333,0.86,0,0,0.6,0.54,2,1,1.0,1,0,0.0,64
88,0.5666666666666667,0.86,2,0,0.5,0.97,3,2,1.0,1,0,1.0,71
89,0.7666666666666667,0.98,0,1,0.7,0.54,0,1,1.0,0,0,1.0,68
90,0.7,0.6,1,0,0.7,0.8,0,1,2.0,1,1,1.0,64
91,0.8666666666666667,0.7,0,1,0.8,0.75,1,1,0.0,1,1,0.0,63
92,0.5333333333333333,0.97,1,1,0.6,0.92,0,2,1.0,2,0,1.0,71
